group,plumule.length,radical.length,seedling.length,Growth.index,Vigor.index,Germination.percentage,Germination.speed.index,Mean.germination.time,Fresh.weight
CK1,1.985714,1.7,3.685714,172.85714,420.999998,80,7.786111111,5.35,0.039
CK1,1.8,1.983333,3.783333,196.49997,437.549979,74,7.177380952,5.432432432,0.057
CK1,1.992857,1.841667,3.834524,185.6786,429.97502,70,6.910714286,5.314285714,0.048
CK2,2.157143,2.716667,4.87381,266.07146,486.250022,72,6.966666667,5.333333333,0.141
CK2,2.485714,1.466667,3.952381,156.85717,409.800019,68,5.787698413,6.264705882,0.14
CK2,1.971429,2.283333,4.254762,225.21426,457.649982,66,6.354761905,5.424242424,0.087
CK0,2.985714,2.5,5.485714,254.85714,478.399998,96,13.23571429,3.875,0.17
CK0,4.028571,2.2,6.228571,238.28571,466.799997,96,12.58571429,4.125,0.205
CK0,3.385714,1.7,5.085714,186.85714,430.799998,100,13.45833333,3.9,0.18
HS0.5,3.542857,3.216667,6.759524,324.9286,527.45002,78,8.942857143,4.435897436,0.135
HS0.5,2.742857,2.066667,4.809524,213.4286,449.40002,78,9.7,4.025641026,0.114
HS0.5,3.014286,2,5.014286,210.14286,447.100002,74,8.726190476,4.324324324,0.108
HS1,2.271429,1.333333,3.604762,142.71426,399.899982,52,3.869047619,7.038461538,0.071
HS1,3.271429,2.066667,5.338096,218.71432,453.100024,58,5.776190476,5.103448276,0.072
HS1,2.371429,1.666667,4.038096,173.71432,421.600024,52,4.102380952,6.692307692,0.086
HS2,2.728571,2.266667,4.995238,231.28574,461.900018,54,4.360714286,6.407407407,0.088
HS2,2.771429,1.716667,4.488096,182.21432,427.550024,52,4.24047619,6.346153846,0.065
HS2,2.971429,2.15,5.121429,223.21429,456.250003,66,5.520238095,6.242424242,0.091
BS0.5,2.714286,2.65,5.364286,265.64286,485.950002,56,5.692857143,5,0.093
BS0.5,3.385714,2.4,5.785714,249.85714,474.899998,70,7.492857143,4.8,0.126
BS0.5,3.042857,2.166667,5.209524,225.4286,457.80002,56,6.633333333,4.285714286,0.082
BS1,3.914286,2.25,6.164286,241.64286,469.150002,84,9.3,4.666666667,0.171
BS1,3.6,3.1,6.7,315,520.5,90,9.488095238,5.022222222,0.124
BS1,4.371429,2.866667,7.238096,301.71432,511.200024,76,8.710714286,4.526315789,0.145
BS2,3.428571,2.9,6.328571,295.28571,506.699997,84,8.496428571,5.142857143,0.165
BS2,3.542857,1.95,5.492857,210.92857,447.649999,76,7.375,5.368421053,0.105
BS2,4.142857,2.133333,6.27619,233.42854,463.399978,74,7.596428571,5.135135135,0.179
